raw_text,cleaned_words
가장 먼저 좋아요를 누르세요,가장 먼저
웬디의말을끊고출격한골든의노예,웬디 출격 노예
아는 맛인데 노래가 너무 좋고 전개가 깔끔하다,노래 전개 깔끔하다
프레임의 간격이 매끈하지 않은 이 느낌이 개성으로 작용할 수도 있겠지만 인물의 디자인과 색감과도 어울리지 않아서 묘하게 불쾌함,프레임 간격 매끈하다 개성 작용 수도 인물 디자인 색감 불쾌하다
노래 좋고 캐릭터성 좋고 스토리 클리셰,노래 캐릭터 스토리 클리셰
ㄹㅇ 걍 온 가족이 깔깔 거리며 볼 수 있어서 좋았음,가족 깔깔 거리
유치한 코미디 요소만 없었어도..,유치하다 코미디 요소
스타일리쉬하고 재밌는 연출은 많았으나 후반부 너무 덜어낸 티가 날만큼 부자연스럽게 끝난다,스타 일리 재밌다 연출 후반 부자연
미국 감성일거같은데 한국 감성인게 좋다,미국 감성 한국 감성
애니메이팅이랑 곡작업을 워낙 잘해서 조금 유치한 걸 빼면 가족끼리도 볼만하다,애니메 작업 워낙 조금 유치하다 가족 끼리 만하
기대안하고 봤는데 재밌어서 좀 놀램ㅋㅋㅋㅋㅋ 근데 막 사람들의 반응만큼 재밌는지는 잘 모르겠음,대안 재밌다 놀래다 사람 반응 재밌다
여름엔미니시어터에서하이볼을마시자,여름 미니 시어터 하이
박진용(@high_yongs),박진용
노래가 진짜 너무 좋았고 한국 문화가 잘 녹아들어서 좋았음. 소재도 참신했으나 스토리는 글쎄…,노래 한국 문화 소재 참신하다 스토리 글쎄
예상치 못한 작품이 준 긍정적인 충격은 참 좋구나.,상치 긍정 충격
독특한 소재를 예리한 관점으로 살피며 이를 다양한 톤의 강점으로 풀어낸다.,독특하다 소재 예리하다 관점 살피 다양하다 강점
음악과 영상 퀄리티에만 몰빵한 영화,음악 영상 퀄리티
기대이상. 한국 문화 듬뿍담은 뮤지컬 형식의 애니메이션인데 거부감 없이 매끄러웠다.,이상 한국 문화 듬뿍 뮤지컬 형식 애니메이션 거부 매끄럽다
성공적인 문화 수출을 위해서 얼마나 섬세하게 자국 문화를 설계해 넣어야 하는지 알려준 영화. 그동안 잘 만든 수많은 외국 미디어도 이렇게 했겠구나 싶은 깨달음을 줬다. 내가 외국 문화를 좋아하는 것은 순전히 나 혼자만의 의지가 아닌 것이다. 역시 세상에 인간이 만든 것은 이유없이 만들어진 게 없다. 촘촘한 그물망 속에서 즐거움을 추구하는 사람들은 그럼에도 이것이 좋다면 알아야 한다. 문화 수출이 성공하려면 나와 다르면서 나보다 나은 것이어야 한다.,성공 문화 수출 위해 얼마나 섬세하다 자국 문화 설계 그동안 수많다 외국 미디어 깨달음 외국 문화 좋아하다 순전하다 혼자 의지 역시 세상 인간 이유 촘촘 그물 즐거움 추구 사람 문화 수출 성공하다 다르다 나은
전통적인 소재와 현대적인 소재를 잘 어울리게 섞어서 참신하고도 재밌었다,전통 소재 현대 소재 참신 재밌다
